idx,canonicalsmiles,precursor,capacity,molwt
52,Cc1ccc(C)c(B([O][Na])[O][Na])c1,B(C1=C(C=CC(=C1)C)C)(O)O,138.2085875512016,193.95000000000007
53,Cc1ccc(B([O][Na])[O][Na])cc1C,B(C1=CC(=C(C=C1)C)C)(O)O,138.2085875512016,193.95000000000005
54,Cc1cc(C)cc(B([O][Na])[O][Na])c1,B(C1=CC(=CC(=C1)C)C)(O)O,138.2085875512016,193.95000000000007
55,O=Cc1ccc(B([O][Na])[O][Na])o1,B(C1=CC=C(O1)C=O)(O)O,145.78774633596868,183.867
56,O=Cc1cccc(B([O][Na])[O][Na])c1,B(C1=CC(=CC=C1)C=O)(O)O,138.23994902455598,193.90600000000003
57,[Na][O]B([O][Na])c1ccoc1,B(C1=COC=C1)(O)O,171.98814012559947,155.857
58,Cc1ccc(B([O][Na])[O][Na])s1,B(C1=CC=C(S1)C)(O)O,144.1530908812788,185.95200000000003
59,[Na][O]B([O][Na])c1ccncc1,B(C1=CC=NC=C1)(O)O,160.62387979408183,166.884
60,C=Cc1ccc(B([O][Na])[O][Na])cc1,B(C1=CC=C(C=C1)C=C)(O)O,139.66027673864738,191.93400000000003
61,CC(C)CB([O][Na])[O][Na],B(CC(C)C)(O)O,183.71797976474951,145.90600000000006
62,N#Cc1ccccc1B([O][Na])[O][Na],B(C1=CC=CC=C1C#N)(O)O,140.41232625247795,190.906
63,CC(C)B([O][Na])[O][Na],B(C(C)C)(O)O,203.2587110575266,131.87900000000002
64,[Na][O]B([O][Na])C1CC1,B(C1CC1)(O)O,206.414109912412,129.86299999999997
65,Cc1cccc(B([O][Na])[O][Na])c1C,B(C1=C(C(=CC=C1)C)C)(O)O,138.2085875512016,193.95000000000007
66,O=Cc1sccc1B([O][Na])[O][Na],B(C1=C(SC=C1)C=O)(O)O,134.07135096684198,199.93500000000003
67,Cc1cc(B([O][Na])[O][Na])ccc1F,B(C1=CC(=C(C=C1)F)C)(O)O,135.44110571592344,197.913
68,Cc1ccc(F)cc1B([O][Na])[O][Na],B(C1=C(C=CC(=C1)F)C)(O)O,135.44110571592338,197.91300000000007
69,CCc1ccccc1B([O][Na])[O][Na],B(C1=CC=CC=C1CC)(O)O,138.2085875512016,193.95000000000007
70,Cc1ccc(B([O][Na])[O][Na])c(C)c1,B(C1=C(C=C(C=C1)C)C)(O)O,138.2085875512016,193.95000000000005
71,C=C(B([O][Na])[O][Na])c1ccccc1,B(C(=C)C1=CC=CC=C1)(O)O,139.6602767386474,191.93400000000003
72,CCC/C=C/B([O][Na])[O][Na],B(/C=C/CCC)(O)O,169.74458453209942,157.91700000000006
73,CC(C)(C)/C=C/B([O][Na])[O][Na],B(/C=C/C(C)(C)C)(O)O,155.89701039614954,171.9440000000001
74,[Na][O]B(CC1CCCC1)[O][Na],B(CC1CCCC1)(O)O,155.89701039614954,171.9440000000001
75,[Na][O]B([O][Na])[C@@H]1CCOC1,B([C@@H]1CCOC1)(O)O,167.65103012437095,159.88900000000004
76,[Na][O]B(/C=C/C1CCCCC1)[O][Na],B(/C=C/C1CCCCC1)(O)O,135.3939022514953,197.9820000000001
77,CCCCCB([O][Na])[O][Na],B(CCCCC)(O)O,167.60490677693497,159.93300000000008
78,[Na][O]B([O][Na])C1CCCC1,B(C1CCCC1)(O)O,169.74458453209942,157.91700000000006
79,Cc1ccc(B([O][Na])[O][Na])o1,B(C1=CC=C(O1)C)(O)O,157.7874052621527,169.884
80,COc1ncc(B([O][Na])[O][Na])cn1,B(C1=CN=C(N=C1)OC)(O)O,135.4513716942847,197.89800000000005
81,COc1cccc(B([O][Na])[O][Na])n1,B(C1=NC(=CC=C1)OC)(O)O,136.1310017548908,196.91000000000005
82,Cc1ccc(B([O][Na])[O][Na])cn1,B(C1=CN=C(C=C1)C)(O)O,148.169849017227,180.91100000000003
83,COc1cncc(B([O][Na])[O][Na])c1,B(C1=CC(=CN=C1)OC)(O)O,136.1310017548908,196.91000000000005
84,CC(C)=CB([O][Na])[O][Na],B(C=C(C)C)(O)O,186.2919977451911,143.89000000000004
85,C=Cc1ccccc1B([O][Na])[O][Na],B(C1=CC=CC=C1C=C)(O)O,139.66027673864738,191.93400000000003
86,[Na][O]B([O][Na])c1cncnc1,B(C1=CN=CN=C1)(O)O,159.6785381454653,167.872
87,Cc1ccsc1B([O][Na])[O][Na],B(C1=C(C=CS1)C)(O)O,144.1530908812788,185.95200000000003
88,[Na][O]B([O][Na])C1=CCCC1,B(C1=CCCC1)(O)O,171.93959984577103,155.90100000000004
89,O=Cc1cscc1B([O][Na])[O][Na],B(C1=CSC=C1C=O)(O)O,134.07135096684198,199.93500000000003
90,C=Cc1cccc(B([O][Na])[O][Na])c1,B(C1=CC(=CC=C1)C=C)(O)O,139.66027673864738,191.93400000000003
91,Cc1cscc1B([O][Na])[O][Na],B(C1=CSC=C1C)(O)O,144.1530908812788,185.95200000000003
92,CC(C)(C)B([O][Na])[O][Na],B(C(C)(C)C)(O)O,183.71797976474951,145.90600000000006
93,CCCCCC/C=C/B([O][Na])[O][Na],B(/C=C/CCCCCC)(O)O,134.02911806895838,199.99800000000013
94,C/C=C/B([O][Na])[O][Na],B(/C=C/C)(O)O,206.414109912412,129.863
95,C=C(C)B([O][Na])[O][Na],B(C(=C)C)(O)O,206.414109912412,129.863
96,Cn1cc(B([O][Na])[O][Na])cn1,B(C1=CN(N=C1)C)(O)O,157.7836901697327,169.88800000000003
97,[Na][O]B(Cc1ccccc1)[O][Na],B(CC1=CC=CC=C1)(O)O,148.9834849105203,179.92300000000006
98,CCn1cc(B([O][Na])[O][Na])cn1,B(C1=CN(N=C1)CC)(O)O,145.74969717290895,183.91500000000005
99,C=CCCCB([O][Na])[O][Na],B(CCCC=C)(O)O,169.74458453209942,157.91700000000006
100,CCC(C)B([O][Na])[O][Na],B(C(C)CC)(O)O,183.71797976474951,145.90600000000006
101,CC(C)=C(C)B([O][Na])[O][Na],B(C(=C(C)C)C)(O)O,169.74458453209942,157.91700000000006
102,CCc1cccc(B([O][Na])[O][Na])c1,B(C1=CC(=CC=C1)CC)(O)O,138.2085875512016,193.95000000000007
103,Cc1cc(B([O][Na])[O][Na])cnc1F,B(C1=CC(=C(N=C1)F)C)(O)O,134.76832974975267,198.901
104,[Na][O]B([O][Na])c1cn[nH]c1,B(C1=CNN=C1)(O)O,171.98372624040363,155.86100000000002
105,[Na][O]B([O][Na])c1cnccn1,B(C1=NC=CN=C1)(O)O,159.6785381454653,167.872
106,C=CCCB([O][Na])[O][Na],B(CCC=C)(O)O,186.2919977451911,143.89000000000004
107,Cc1sccc1B([O][Na])[O][Na],B(C1=C(SC=C1)C)(O)O,144.1530908812788,185.95200000000003
108,CC(=O)c1ccc(B([O][Na])[O][Na])o1,B(C1=CC=C(O1)C(=O)C)(O)O,135.4541095513535,197.89400000000003
109,C#Cc1ccc(B([O][Na])[O][Na])cc1,B(C1=CC=C(C=C1)C#C)(O)O,141.14278559986707,189.91800000000003
