cluster,idx,canonicalsmiles
11,202,Fc1c(Cl)cc(O[Na])cc1B(O[Na])O[Na]
11,212,COc1cc(F)cc(B(O[Na])O[Na])c1O[Na]
11,225,[Na]OB(O[Na])c1cc(Cl)cc(O[Na])c1Cl
11,236,CC(C)c1ccc(O[Na])c(B(O[Na])O[Na])c1
11,238,COc1cc(C)cc(B(O[Na])O[Na])c1O[Na]
11,253,[Na]OB(O[Na])c1cc(O[Na])cc(O[Na])c1
11,268,O=C(O[Na])c1sccc1B(O[Na])O[Na]
11,271,O=C(O[Na])c1ccncc1B(O[Na])O[Na]
11,331,Cc1ccc(C(=O)O[Na])c(B(O[Na])O[Na])c1
11,333,COc1cccc(O[Na])c1B(O[Na])O[Na]
11,351,[Na]OB(O[Na])c1cc(Cl)cc(Cl)c1O[Na]
11,359,O=C(O[Na])c1cc(Cl)ncc1B(O[Na])O[Na]
11,362,N#Cc1cc(O[Na])cc(B(O[Na])O[Na])c1
11,364,COC(=O)c1cc(O[Na])cc(B(O[Na])O[Na])c1
11,366,O=Cc1ccc(O[Na])cc1B(O[Na])O[Na]
11,386,Cc1cccc(O[Na])c1B(O[Na])O[Na]
11,399,[Na]OB(O[Na])c1cscc1B(O[Na])O[Na]
11,404,O=C(O[Na])C(B(O[Na])O[Na])c1ccccc1
11,425,O=C(O[Na])c1c(Cl)cccc1B(O[Na])O[Na]
11,433,N#Cc1ccc(B(O[Na])O[Na])c(B(O[Na])O[Na])c1
11,436,O=C(C=CB(O[Na])O[Na])O[Na]
11,467,[Na]OB(O[Na])c1c(O[Na])cncc1O[Na]
11,471,O=C(O[Na])c1ncccc1B(O[Na])O[Na]
11,500,O=C(O[Na])c1cccnc1B(O[Na])O[Na]
11,519,Cc1cccc(B(O[Na])O[Na])c1B(O[Na])O[Na]
11,520,CCc1cccc(O[Na])c1B(O[Na])O[Na]
11,528,[Na]OB(O[Na])C1=C(B(O[Na])O[Na])CSC=C1
11,537,Cc1cc(B(O[Na])O[Na])c(O[Na])s1
11,549,COB(O[Na])c1cc(O[Na])cc(O[Na])c1
11,559,CC(=O)c1cc(O[Na])cc(B(O[Na])O[Na])c1
11,587,O=C(O[Na])c1ccc2c(c1B(O[Na])O[Na])OCO2
11,605,O=C(Cc1ncc(B(O[Na])O[Na])cn1)O[Na]
11,610,[Na]OB(O[Na])c1c(O[Na])ccc2scc(O[Na])c12
11,626,Cc1c(Cl)ccc(B(O[Na])O[Na])c1O[Na]
11,650,C/C(=C\B(O[Na])O[Na])C(=O)O[Na]
11,658,COC(=O)c1ccc(B(O[Na])O[Na])c(O[Na])c1
11,674,O=C(/C=C/c1ccc(B(O[Na])O[Na])cc1)O[Na]
11,681,COc1c(B(O[Na])O[Na])cccc1C(=O)O[Na]
11,692,COc1ccc(C(=O)O[Na])cc1B(O[Na])O[Na]
11,696,FC(F)(F)c1cc(O[Na])cc(B(O[Na])O[Na])c1
11,697,FC(F)(F)c1ccc(B(O[Na])O[Na])c(O[Na])c1
11,723,O=C(O[Na])c1ccoc1B(O[Na])O[Na]
11,750,[Na]OB(O[Na])OCCCOB(O[Na])O[Na]
11,761,O=BB(O[Na])O[Na]
11,763,[Na]OB(O[Na])Oc1ccc(O[Na])cc1
11,790,Cc1ccc(O[Na])cc1B(O[Na])O[Na]
11,813,[Na]OB(O[Na])N1CN(B(O[Na])O[Na])CN(B(O[Na])O[Na])C1
11,820,[Na]OB(O[Na])Oc1cc(Cl)cc(O[Na])c1
12,26,[Na]OB(O[Na])c1cc(B(O[Na])O[Na])cc(B(O[Na])O[Na])c1
12,34,O=C(O[Na])c1cc(B(O[Na])O[Na])cc(C(=O)O[Na])c1
