id_0,cluster_0,X_0,Y_0,id_1,cluster_1,X_1,Y_1,id_2,cluster_2,X_2,Y_2,id_3,cluster_3,X_3,Y_3,id_4,cluster_4,X_4,Y_4,id_5,cluster_5,X_5,Y_5,id_6,cluster_6,X_6,Y_6,id_7,cluster_7,X_7,Y_7,id_8,cluster_8,X_8,Y_8,id_9,cluster_9,X_9,Y_9,id_10,cluster_10,X_10,Y_10
3004.0,0.0,4.9912643,10.529019,1607,1,43.47492,-23.69386,1197.0,2.0,-36.457275,44.71631,907.0,3.0,-34.033604,6.091994,131.0,4.0,-55.01107,-33.37272,937.0,5.0,5.1153164,35.264656,1767.0,6.0,38.664463,28.876778,788.0,7.0,56.077396,-3.7174673,12.0,8.0,-22.225286,-24.53973,1375.0,9.0,-36.346214,-27.238745,1072.0,10.0,26.300938,-42.47964
3011.0,0.0,23.620998,19.987936,1611,1,28.933289,16.215815,2970.0,2.0,-34.709454,38.771988,1876.0,3.0,7.407486,-17.178009,1411.0,4.0,14.480951,-37.29861,1981.0,5.0,1.1369538,35.89842,1066.0,6.0,30.719236,24.985603,790.0,7.0,50.404366,-4.7788844,13.0,8.0,-22.526749,-43.510094,1377.0,9.0,-57.26846,-13.007758,1060.0,10.0,23.712315,-39.239365
2953.0,0.0,14.603002,-15.673487,1614,1,43.91581,9.209015,2977.0,2.0,-32.75575,32.449142,1922.0,3.0,-35.542492,10.656317,1353.0,4.0,-37.568626,-30.943047,1983.0,5.0,2.1776977,30.911345,1826.0,6.0,-6.741745,15.505514,782.0,7.0,36.554203,13.90886,19.0,8.0,-20.998892,-43.109024,3038.0,9.0,-30.987005,-11.072477,1805.0,10.0,22.329618,-28.209078
2958.0,0.0,23.071318,20.144875,1619,1,39.233864,-22.958075,1622.0,2.0,-46.53533,36.78268,2870.0,3.0,5.228191,10.485123,1361.0,4.0,14.716136,-38.916626,1122.0,5.0,-0.61560726,36.79309,1812.0,6.0,34.331284,25.988068,1692.0,7.0,28.604424,-11.888242,104.0,8.0,-18.474356,-43.477676,66.0,9.0,-43.26469,-21.379095,1071.0,10.0,20.402653,-42.36393
2959.0,0.0,28.628326,16.567688,1621,1,15.566522,-5.731381,1216.0,2.0,-39.79181,38.83619,2879.0,3.0,10.189262,17.82529,1386.0,4.0,-37.42351,-32.07703,1112.0,5.0,1.7824599,33.95724,1896.0,6.0,33.907074,29.800596,1693.0,7.0,33.803818,9.819157,1086.0,8.0,-34.130993,-39.952736,55.0,9.0,-38.149788,-24.762257,3053.0,10.0,18.827772,-22.803194
2960.0,0.0,12.386208,-12.619951,1200,1,56.925537,5.8790774,1632.0,2.0,-41.121853,44.538612,2864.0,3.0,-34.842808,0.9581005,1398.0,4.0,15.489632,-42.33441,1874.0,5.0,-3.8542006,35.291733,1897.0,6.0,33.581448,28.277348,1696.0,7.0,44.274433,-11.380897,3074.0,8.0,-13.950706,6.1788783,1771.0,9.0,-56.690662,-8.9158,1355.0,10.0,26.557882,-27.911484
2963.0,0.0,17.788143,7.3480697,1211,1,5.2256074,-3.9782364,1240.0,2.0,-43.364086,34.374817,2865.0,3.0,-16.421377,4.7681775,1383.0,4.0,-49.61231,-44.94412,1867.0,5.0,7.9523273,33.147404,1025.0,6.0,-5.834595,1.6230432,1699.0,7.0,25.235182,-7.147116,3075.0,8.0,-35.77149,-36.705944,1827.0,9.0,-53.608437,-19.830618,1396.0,10.0,14.1083555,-36.692856
1363.0,0.0,18.656137,2.8553889,1604,1,38.784775,17.323097,1242.0,2.0,-43.51931,34.90332,1387.0,3.0,-31.925922,-33.683723,2891.0,4.0,9.097369,-10.489936,1855.0,5.0,-0.3180651,31.76249,1014.0,6.0,-5.8804703,0.5845076,1168.0,7.0,-6.5399327,15.83957,1364.0,8.0,-15.161225,-40.767864,1073.0,9.0,-51.266315,6.717379,1397.0,10.0,17.932526,-30.368814
3045.0,0.0,25.581396,22.567055,1399,1,45.546486,23.452038,1618.0,2.0,-48.376434,42.42656,2990.0,3.0,21.99165,-19.217169,2893.0,4.0,9.407738,-8.315885,1836.0,5.0,10.660781,31.982395,1015.0,6.0,-13.943913,8.3981905,2163.0,7.0,41.724403,-5.3657002,1405.0,8.0,-15.194397,-40.920193,1810.0,9.0,-53.556934,-20.172287,1356.0,10.0,0.0039394028,-6.3339663
2974.0,0.0,20.56307,8.328528,1400,1,40.476578,-24.593193,2.0,2.0,-31.808695,38.369057,2967.0,3.0,-2.107784,-15.696344,2895.0,4.0,-48.69551,-31.312874,3029.0,5.0,-0.3839699,29.75231,1017.0,6.0,34.615196,42.28293,2149.0,7.0,46.638283,-18.480604,40.0,8.0,-26.163725,-30.536488,1811.0,9.0,-35.966015,-23.075003,1350.0,10.0,-12.427652,14.479733
