Molecule,Cluster,data,Cluster_center,Distance_to_center,canonicalsmiles,scscore,spacial_score,capacity
117,6,[ 0.4851815239460688  0.5530559971475708  0.9746059723201683  0.6797681400027425 -0.3278398436532911 -0.2378185052309313  0.1585059716072485  0.0643124326789218  0.0140062239914767],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],1.0497955980349016,C=CB([O][Na])[O][Na],1.4225382280326384,60.0,231.40954069162922
119,6,[ 0.7305169196328786 -0.084553305353174   0.1360924172497047  0.1414549078605085  0.2848358572904442  0.0529036361241038 -0.1084508644494977 -0.0566912960246611 -0.0954728364193338],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4309948577014472,[Na][O]B([O][Na])[C@H]1CCOC1,2.101069022981574,254.0,167.65103012437095
123,6,[ 0.6494096145920987  0.2742055852447111  0.6486793098337326  0.6077383612167944 -0.1673850913361326 -0.0482632626412893  0.0525780962772323  0.0090182780723009 -0.2368709092997042],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6460551129115157,C/C=C\B([O][Na])[O][Na],1.6383250913222132,85.0,206.41410991241196
146,6,[ 0.7916434077495959  0.0258574499652603 -0.0679381046453027  0.2903747370892238  0.0899756009690233  0.0417984431319278 -0.1398995809551792  0.0069734871213428 -0.1120512295335386],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4439260217273769,CC(C)(C)CB([O][Na])[O][Na],1.7978566930279147,119.0,167.60490677693497
185,6,[ 0.7273126949805477  0.1866243507302055 -0.0758009179579384  0.2157692331052497  0.0997673772165004 -0.0196614583923116 -0.2059859573555949 -0.0195773000697302  0.040405600776224 ],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4241465709481164,CC1(C)CC1B([O][Na])[O][Na],2.368765928844761,284.0,169.74458453209942
188,6,[ 0.7886964522034977 -0.0200098302701226 -0.1101170701193634  0.2673428660421485  0.0588331223578082  0.0109331733751817 -0.040754015568838   0.157058535886573  -0.0993094925526247],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4683994192962561,CCC(C)CB([O][Na])[O][Na],2.1201790234515787,134.0,167.60490677693497
200,6,[ 0.7331882686074546  0.1229183174727017 -0.1695202549639854  0.1787688304604419  0.0502653837038777 -0.1036808106085895 -0.0583179384673203  0.1582590757379596 -0.0476626792554917],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4601164540272034,CC(C)CCB([O][Na])[O][Na],1.8608916822824848,107.0,167.60490677693497
201,6,[ 0.8259320121962288  0.0040302324639082  0.2520721753126826  0.3399555662594687  0.206555326613975  -0.0849234042373789 -0.1224296569916842 -0.0061990594565829  0.1597342967661449],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.352844936514489,FC(F)(F)B([O][Na])[O][Na],1.6795311446811745,107.0,169.87582341364143
208,6,[ 0.4140474403302071  0.3342354198489186 -0.1112545284002239  0.107839426289975  -0.1957444760175907 -0.1549928683374514  0.0569824188237619  0.1381295793317551 -0.0555733538039339],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5814969368685433,CCCC=CB([O][Na])[O][Na],2.0014040627017837,93.0,169.74458453209942
218,6,[ 0.6969407207438378 -0.068117219798562   0.4689993491456853  0.620674038331073  -0.1130968889662722 -0.056896513356996   0.0523084969193809  0.0491953253833522 -0.2586202439656917],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5734650327857147,C=CC(C)B([O][Na])[O][Na],1.773722651163467,117.0,186.2919977451911
221,6,[ 0.6136303415595601  0.3063677804493274  0.6645319056942973  0.5960151402559051 -0.1706265715333466 -0.34360609915044    0.0719662391379681  0.0811680177627829 -0.1111489306394731],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6617980404639356,C=CCB([O][Na])[O][Na],1.5184079451961197,72.0,206.41410991241196
222,6,[ 0.6329159709144238  0.0648092282131448  0.358282555954692   0.496832093852061  -0.1699998921323859  0.1959253071009862  0.1065096082757196  0.1154373942929365 -0.0878252144624635],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5150273204815304,C=C(CC)B([O][Na])[O][Na],1.7591509261344611,85.0,186.2919977451911
225,6,[ 0.5354004527946585  0.311984568963889   0.2598887002980947  0.350356917968437  -0.165356176490056  -0.194234509052177   0.0404569577396142  0.0817607490498397 -0.0871048881559285],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3518560593239771,C/C=C/CB([O][Na])[O][Na],1.7849167673821205,97.0,186.2919977451911
226,6,[ 0.6245090788080859  0.3084296742227028  0.6909443491215226  0.6077166695290835 -0.1562155340841359 -0.2237942443058148  0.0470486354783635  0.0284115540956919 -0.119813104937972 ],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6494203164992478,C=C=CB([O][Na])[O][Na],1.8260275732585445,64.0,209.6690227815714
229,6,[ 0.8038933383009905 -0.2865860314734767  0.1565948866179036  0.3902000930803604  0.1291202470719447 -0.0025795779751464 -0.0259418974490083  0.1043545012182878  0.2032004946348412],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5538956253098649,[Na][O]B([O][Na])C(Cl)Cl,1.6326889029299458,83.0,155.20108592511104
232,6,[ 0.4547931261150397  0.2575622365503817 -0.0293082107244705  0.1869351364387977 -0.169951826527117  -0.0528435278494261  0.0199288937688947  0.0634677012330447 -0.0644483946100497],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4553929470199677,CC(C)/C=C/B([O][Na])[O][Na],2.0422061281993753,115.0,169.74458453209942
233,6,[ 1.0165877563578458  0.1926738155132665  0.395808452891296   0.4540712590492598  0.2179640038134807 -0.1512050678254334 -0.1039444404104545  0.1148739599724334 -0.0446371216516847],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4836147049863548,[Na][O]B(CCl)[O][Na],1.5231176921139036,65.0,193.8638573483442
235,6,[ 0.9975216764982542  0.4674373689142866  0.677105211446525   0.2319420413332014  0.4118842634826712 -0.022683028952922  -0.0155429168815211  0.1072768023346836  0.1614097351056728],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.7527774796342739,N#CB([O][Na])[O][Na],1.5200792218044596,55.0,233.48160019820534
236,6,[ 0.6148738790334747  0.268918421080664   0.7387340642834815  0.3176592695615516  0.108882718204156  -0.3787975475090462  0.1207427900619624  0.0660846159824751 -0.0594358368143071],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5803692595492864,O=CCB([O][Na])[O][Na],1.7258730820430845,72.0,203.32654875833848
241,6,[ 0.5291115596816395  0.3050162327694999  0.3472861642616088  0.3978128661957606 -0.1413596392935623 -0.4266214563800595  0.0147900877528046  0.0756074630885318  0.0334834231048893],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4607942956800402,CC/C=C/B([O][Na])[O][Na],1.9610034909430647,97.0,186.2919977451911
244,6,[ 1.088001292151569   0.4488836813574706  0.5185496578579102  0.4869626438041467  0.1904612995865079  0.2427950775954606 -0.0600174462396438  0.2180113186634474  0.263756898575257 ],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.8226086028608437,C#CB([O][Na])[O][Na],1.8125967349269339,55.0,235.50830746402704
246,6,[ 0.3006042228869033 -0.1660160529148668  0.6277117287561059  0.1428980202009617  0.0922429610715311 -0.0162786176831948  0.147181569471479  -0.185242202540876  -0.2026282019462441],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6979171167313415,[Na][O]B([O][Na])C1=COCO1,2.0905760729852565,158.0,167.69717886424695
254,6,[ 0.4644899380261205  0.1946771707343521  0.0808971856297458  0.2659711379938818 -0.1155210714345004 -0.2760730269904916 -0.0674132957064413 -0.0015619743981258 -0.0614127035561598],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3666782986861882,[Na][O]B(/C=C/C1CC1)[O][Na],1.954788825122192,184.0,171.93959984577103
258,6,[ 0.5601823362609665  0.2677017888705658  0.3230084888451684  0.4033623272776428 -0.1555877095221279 -0.1739222896745316  0.0402222651213302  0.0792885050201505 -0.0343794500131711],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3342961747711869,CC=CCB([O][Na])[O][Na],1.5983798869479222,81.0,186.2919977451911
262,6,[ 0.556569479818382   0.2959649960376023  0.3069551863431225  0.3858070893468186 -0.1510524302041063 -0.203157634954315   0.0275883763375618  0.0647906473620343 -0.0798098729181098],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3414342379100323,C/C=C\CB([O][Na])[O][Na],1.7125679726203682,97.0,186.2919977451911
266,6,[ 6.5601306694338324e-01  6.0132023754018812e-02  4.1313761510614411e-01  5.4407086683780292e-01 -1.1712360978794556e-01  3.7108509963709231e-04  8.3338567746637972e-03 -1.4582715047194470e-02 -2.4412760034967448e-01],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4745511527191393,C/C=C(\C)B([O][Na])[O][Na],1.843406109254813,108.0,186.2919977451911
269,6,[ 0.7905995864019163  0.3451249165745454  0.0142949769605517  0.1555526557909057  0.1218384456575619 -0.2008465527806407 -0.0803475847037022  0.1479308630630037  0.0121882683161159],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3931039343152195,[Na][O]B(CCCl)[O][Na],1.7771012590748563,77.0,176.00842797662168
270,6,[ 0.4488096659963957  0.2657260530285931  0.0331397881315188  0.2252131511099258 -0.1513898440314712 -0.2988677788993773 -0.0153737439323947  0.043368222672467   0.0120964692890409],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.43470064424476,CC(C)=CCB([O][Na])[O][Na],1.7225238412768342,94.0,169.74458453209942
275,6,[ 0.2506038417236395  0.0386410016374747  0.8614417858273787  0.4251380720828357 -0.2005866128957536 -0.2205874284094328  0.2826227515423027 -0.0206729643376348 -0.0947667556715214],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.8626986599221411,C=CC(=O)B([O][Na])[O][Na],2.3466503005857815,80.0,186.34898124074044
293,6,[ 1.0667402509990018  0.4034515191419741  0.4680930627135677  0.4374833730405657  0.2104598337861803  0.0433717301613882 -0.0574228683429612  0.2075490154044212  0.0980002790813497],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6433956074200707,FCB([O][Na])[O][Na],2.01488910913288,65.0,220.05135291676362
346,6,[ 0.8584131454136278  0.051830518508494   0.2005048863243646  0.3394906724779536  0.1797105976412779 -0.045354765983654  -0.1009732521084147  0.0517833146343035  0.0529538922043461],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3068875283310851,CC(F)(F)B([O][Na])[O][Na],1.9016718750996267,107.0,174.25214230820342
364,6,[ 0.9319519692893532  0.3475947324492915  0.2975539779244532  0.345240797065242   0.1981925436240975 -0.3849612334040316 -0.1049629484431039  0.1600838249581341  0.0303911514429727],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.489664269812181,FCCB([O][Na])[O][Na],2.2085272070034208,77.0,197.3289229807832
387,6,[ 0.3051843525656829 -0.0927587403788967  0.6538017265183194  0.6036262751017205 -0.4077758009997378  0.2728277245391748  0.267394948851105   0.0055113080691939 -0.0469387769935648],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.9632068930174128,F/C=C(/F)B([O][Na])[O][Na],2.0363493088866154,108.0,176.5660770640483
394,6,[ 0.9510492259697709  0.1792847993314791  0.3753650858562093  0.4032678751233277  0.2114870231708391 -0.1013118005549302 -0.0764827582636947  0.1293860961645964  0.1304492013718035],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.428298785539921,FC(F)B([O][Na])[O][Na],2.0616028110816798,83.0,191.73531386971533
412,6,[ 0.6491733012642737  0.0327750356279703  0.3851665299490766  0.5293691918800677 -0.1521460472592589  0.0902420862948742  0.0842312511711032  0.0900240840237876 -0.1533730736702414],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4835938197734231,C=C(C)CB([O][Na])[O][Na],1.6517437452901498,85.0,186.2919977451911
431,6,[ 0.4988033924345186  0.134436895446711   0.1542188486106364  0.3393718579802808 -0.1173728530502381 -0.2500632991309234 -0.040216336629143  -0.0119786406349394  0.0226394746432161],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3156092199173816,CC(C)=C=CB([O][Na])[O][Na],2.091901047428221,86.0,171.93959984577103
432,6,[ 0.5366875881793081  0.342017987835569   0.3450881307577623  0.3847879883591715 -0.130235493878058  -0.2809702772816992 -0.0159438798102271  0.0130614713988812 -0.014724181047021 ],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3831414702740563,CC=C=CB([O][Na])[O][Na],2.126551614948257,73.0,188.93916824474923
446,6,[ 0.7415875991159004 -0.1755617685889252  0.096182307878898   0.1415507879178015  0.2301991879072287  0.0112592041888341  0.0563901839766033  0.1456082763015436 -0.0377637269271865],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4503134949544906,COCC(C)B([O][Na])[O][Na],1.9373988062620673,134.0,165.56348201448716
476,6,[ 0.6738404411317227  0.1572009681931262 -0.1327893703305459  0.126043521168154   0.080231041664819  -0.2847173526024355 -0.0656220729212612  0.1501970705273168  0.0912691874590782],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4683516632699335,CCCC(F)B([O][Na])[O][Na],1.928932179426443,134.0,163.55222553055316
491,6,[ 0.3816502720767597  0.3248552869995686  0.8157815103181641  0.6142458770440333 -0.3292406973995765 -0.2884664095489015  0.1379529368841209 -0.0365326818619455 -0.1395997022921257],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.8849722796723406,FC=CB([O][Na])[O][Na],2.3818222530250974,69.0,200.3015524304362
509,6,[ 0.8308609047426638  0.1596178920686762  0.0789549029088016  0.2664394083945987  0.1310013273773915 -0.2595361736392403 -0.0471251531328349  0.1925397920686176 -0.0057249388260042],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3298915035949943,FCCCB([O][Na])[O][Na],2.6949654802573084,89.0,178.85990802337741
