Molecule,Cluster,canonicalsmiles,scscore,spacial_score,capacity,anode_limit,normal_scscore,normal_spacial_score,normal_capacity,normal_anode_limit,total_score
16,6,CB([O][Na])[O][Na],1.4456419707936572,53.0,258.18016427214604,3.54996750531089,0.18157717099680923,0.0,0.19968306479659767,1,1.0181058937997884
2709,6,[Na][O]B(Cl)[O][Na],1.3371758851096756,53.0,215.7510326984664,5.033328065503111,0.0,0.0,0.0,0,0.0
117,6,C=CB([O][Na])[O][Na],1.4225382280326384,60.0,231.40954069162922,3.9234260703737776,0.14290045261493312,0.14285714285714285,0.07369320912889969,0,-0.21206438634317626
2693,6,[Na][O]B([O][Na])[O][Na],1.9345311863765273,66.0,419.56120419717735,3.883818395344947,1.0,0.2653061224489796,0.9591862518069754,0,-0.3061198706420043
2980,6,O=C([O][Na])OB([O][Na])O[O][Na],1.869371984335236,102.0,428.23340628833023,4.355536267295303,0.8909205260201027,1.0,1.0,0,-0.8909205260201027
