NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,RingCount,NumAromaticRings,NumAromaticCarbocycles,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,FractionCSP2
21.0,21.0,15.0,9.0,1.0,1.0,1.0,6.0,341.46,338.436,55.38,-4.6272,83.64,0.09294495,0.77260892,0.63488224,0.66576497,2862.26001479,3001.48965068,4508.33217216,3.89715834,0.32682192,1.0
15.0,15.0,8.0,5.0,1.0,1.0,1.0,4.0,233.903,227.855,36.92,-0.9471,58.442,0.37985015,0.95843632,0.28530654,0.75747212,643.17690121,1707.59689023,2254.3363011,3.13752442,0.0616464,0.85714286
14.0,14.0,7.0,4.0,1.0,1.0,1.0,3.0,217.904,211.856,27.69,-0.64728,56.627,0.07884259,0.77508027,0.63186279,0.72654993,1019.31534711,1172.06379624,1613.19097848,2.95464425,0.27189294,0.85714286
16.0,16.0,8.0,4.0,1.0,1.0,1.0,4.0,245.914,239.866,44.76,-0.86928,61.4145,0.41340998,0.96539084,0.26080746,0.90081081,731.91542955,2527.98495493,2806.34393676,3.51199043,0.17051473,0.875
16.0,16.0,9.0,4.0,1.0,1.0,1.0,4.0,249.877,246.853,44.76,-1.0386,56.6355,0.30479765,0.94034205,0.34023056,0.92229537,859.55919362,2330.0889679,2526.40209993,3.38197101,0.24912356,1.0
16.0,16.0,8.0,5.0,1.0,1.0,1.0,4.0,245.914,239.866,44.76,-1.2488,61.058,0.60888387,0.98808486,0.15391005,0.92241461,515.28110242,3088.18576582,3347.93675758,3.75949601,0.29801852,0.875
15.0,15.0,8.0,5.0,1.0,1.0,1.0,4.0,231.887,227.855,44.76,-1.1432,57.2775,0.51749582,0.97979746,0.19999232,0.82673782,544.46280175,2250.72639198,2722.41855885,3.44923046,0.03664386,1.0
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,238.322,235.298,27.69,-0.3023,56.9,0.13650217,0.86038246,0.50964892,0.80534424,1004.61345741,1587.48430946,1971.1872525,3.09415263,0.32707665,1.0
19.0,19.0,11.0,5.0,1.0,1.0,1.0,6.0,297.878,294.854,71.06,-1.9374,67.847,0.23898271,0.87821029,0.47827469,0.54067887,2109.79742367,2385.07893174,4411.26714691,3.86643427,0.02985193,1.0
15.0,15.0,9.0,5.0,1.0,1.0,1.0,4.0,241.858,238.834,36.92,-1.4934,58.272,0.11899545,0.83666858,0.54770949,0.73462811,1070.11297557,1435.31395996,1953.79667637,3.03622813,0.24631474,1.0
