Mw,Frequency
129.86,0.9291521486643438
266.33,1.5098722415795587
257.93,1.0452961672473868
103.82,0.11614401858304298
131.88,0.23228803716608595
117.85,0.11614401858304298
253.68,0.5807200929152149
203.88,0.34843205574912894
237.92,0.8130081300813009
249.88,1.5098722415795587
259.71,0.4645760743321719
269.87,0.5807200929152149
231.89,1.3937282229965158
221.87,1.1614401858304297
253.94,1.2775842044134729
341.46,0.23228803716608595
233.9,3.484320557491289
217.9,1.7421602787456445
245.91,2.7874564459930316
238.32,1.6260162601626018
297.88,0.11614401858304298
241.86,0.8130081300813009
261.91,3.368176538908246
273.97,0.34843205574912894
115.84,0.11614401858304298
227.77,0.11614401858304298
232.88,0.8130081300813009
183.84,0.23228803716608595
259.98,0.5807200929152149
239.86,2.2067363530778166
271.87,1.5098722415795587
267.87,1.5098722415795587
252.35,1.3937282229965158
275.94,0.9291521486643438
254.67,0.6968641114982579
205.63,0.23228803716608595
127.85,0.4645760743321719
191.61,0.11614401858304298
138.27,0.11614401858304298
114.81,0.11614401858304298
131.83,0.34843205574912894
113.82,0.11614401858304298
233.69,0.34843205574912894
219.66,0.4645760743321719
221.85,0.5807200929152149
261.74,0.34843205574912894
366.66,0.11614401858304298
367.17,0.11614401858304298
429.24,0.11614401858304298
259.94,1.0452961672473868
115.81,0.11614401858304298
121.81,0.11614401858304298
256.31,2.0905923344947737
263.9,0.5807200929152149
307.86,0.11614401858304298
250.86,0.23228803716608595
235.89,1.2775842044134729
271.67,0.5807200929152149
125.87,0.11614401858304298
111.84,0.11614401858304298
275.84,0.23228803716608595
337.66,0.23228803716608595
135.84,0.11614401858304298
222.85,0.23228803716608595
410.04,0.11614401858304298
430.03,0.11614401858304298
395.43,0.11614401858304298
197.87,0.4645760743321719
211.85,0.11614401858304298
418.08,0.11614401858304298
114.88,0.23228803716608595
225.95,0.11614401858304298
203.62,0.23228803716608595
265.92,0.11614401858304298
263.75,0.11614401858304298
257.85,0.23228803716608595
222.86,0.11614401858304298
277.96,0.4645760743321719
133.83,0.11614401858304298
251.89,0.5807200929152149
274.3,0.11614401858304298
267.96,0.11614401858304298
259.85,0.23228803716608595
277.89,0.11614401858304298
266.14,0.11614401858304298
272.77,1.6260162601626018
79.83,0.11614401858304298
256.87,0.11614401858304298
641.84,0.11614401858304298
263.93,0.6968641114982579
319.67,0.23228803716608595
263.86,0.11614401858304298
135.93,0.11614401858304298
245.96,0.5807200929152149
231.93,1.9744483159117305
247.93,0.6968641114982579
243.94,0.23228803716608595
249.97,0.6968641114982579
249.83,0.23228803716608595
275.75,0.11614401858304298
91.84,0.11614401858304298
217.65,0.23228803716608595
344.42,0.11614401858304298
267.7,0.5807200929152149
117.81,0.11614401858304298
169.82,0.11614401858304298
155.79,0.11614401858304298
298.87,0.11614401858304298
204.86,0.11614401858304298
268.35,0.34843205574912894
228.89,0.9291521486643438
204.87,0.4645760743321719
297.97,0.11614401858304298
253.89,0.11614401858304298
277.74,0.11614401858304298
275.77,0.23228803716608595
254.92,0.34843205574912894
211.81,0.11614401858304298
215.95,0.11614401858304298
295.97,0.11614401858304298
133.85,0.23228803716608595
267.32,0.4645760743321719
219.88,0.4645760743321719
135.81,0.11614401858304298
107.88,0.11614401858304298
231.67,0.23228803716608595
134.86,0.11614401858304298
216.9,0.11614401858304298
131.64,0.11614401858304298
93.81,0.11614401858304298
103.85,0.34843205574912894
253.91,0.34843205574912894
229.91,0.23228803716608595
259.99,0.34843205574912894
383.95,0.23228803716608595
242.91,0.11614401858304298
255.65,0.11614401858304298
275.9,0.5807200929152149
131.86,0.34843205574912894
329.64,0.23228803716608595
261.68,0.11614401858304298
271.74,0.11614401858304298
239.31,0.4645760743321719
393.8,0.11614401858304298
183.8,0.11614401858304298
247.72,0.34843205574912894
293.42,0.11614401858304298
435.29,0.11614401858304298
209.88,0.23228803716608595
237.93,0.11614401858304298
278.69,0.23228803716608595
107.84,0.23228803716608595
127.91,0.4645760743321719
243.64,0.4645760743321719
133.92,0.34843205574912894
291.66,0.23228803716608595
261.96,0.6968641114982579
259.73,0.34843205574912894
279.84,0.23228803716608595
218.89,0.11614401858304298
254.93,0.6968641114982579
99.43,0.11614401858304298
201.6,0.11614401858304298
270.0,0.23228803716608595
254.0,0.11614401858304298
366.07,0.11614401858304298
209.91,0.11614401858304298
333.7,0.23228803716608595
181.83,0.11614401858304298
237.94,0.11614401858304298
263.97,0.23228803716608595
251.96,0.11614401858304298
613.3,0.11614401858304298
243.81,0.11614401858304298
366.02,0.11614401858304298
409.25,0.11614401858304298
195.85,0.5807200929152149
430.23,0.11614401858304298
221.92,0.11614401858304298
141.83,0.11614401858304298
127.66,0.11614401858304298
193.84,0.11614401858304298
242.85,0.11614401858304298
267.71,0.23228803716608595
339.89,0.11614401858304298
396.72,0.11614401858304298
259.92,0.11614401858304298
342.45,0.11614401858304298
137.86,0.23228803716608595
165.9,0.11614401858304298
355.8,0.11614401858304298
409.92,0.11614401858304298
256.9,0.34843205574912894
393.98,0.11614401858304298
151.87,0.11614401858304298
318.02,0.11614401858304298
115.86,0.11614401858304298
221.63,0.11614401858304298
249.69,0.11614401858304298
335.5,0.11614401858304298
232.87,0.11614401858304298
245.93,0.11614401858304298
253.87,0.11614401858304298
257.71,0.23228803716608595
254.99,0.11614401858304298
113.89,0.11614401858304298
383.54,0.11614401858304298
245.7,0.11614401858304298
276.22,0.11614401858304298
273.73,0.11614401858304298
243.92,0.11614401858304298
505.86,0.23228803716608595
257.92,0.11614401858304298
223.93,0.11614401858304298
227.9,0.11614401858304298
193.95,0.11614401858304298
129.63,0.11614401858304298
179.88,0.11614401858304298
255.89,0.11614401858304298
271.95,0.23228803716608595
133.87,0.11614401858304298
303.91,0.11614401858304298
238.9,0.11614401858304298
260.88,0.11614401858304298
241.67,0.11614401858304298
227.81,0.11614401858304298
243.96,0.11614401858304298
1637.02,0.11614401858304298
277.98,0.23228803716608595
145.82,0.11614401858304298
104.84,0.11614401858304298
385.66,0.11614401858304298
255.93,0.11614401858304298
283.88,0.11614401858304298
260.93,0.11614401858304298
272.73,0.11614401858304298
229.94,0.11614401858304298
233.86,0.11614401858304298
247.89,0.6968641114982579
269.68,0.11614401858304298
320.75,0.11614401858304298
273.99,0.23228803716608595
297.95,0.11614401858304298
234.89,0.11614401858304298
256.94,0.11614401858304298
128.83,0.11614401858304298
229.88,0.11614401858304298
211.9,0.11614401858304298
132.89,0.11614401858304298
249.95,0.11614401858304298
305.69,0.11614401858304298
259.9,0.4645760743321719
251.94,0.11614401858304298
265.97,0.23228803716608595
221.89,0.11614401858304298
276.3,0.4645760743321719
275.72,0.11614401858304298
418.14,0.11614401858304298
127.78,0.11614401858304298
177.58,0.11614401858304298
259.38,0.11614401858304298
89.8,0.11614401858304298
107.79,0.11614401858304298
130.81,0.11614401858304298
119.82,0.11614401858304298
124.24,0.11614401858304298
345.85,0.11614401858304298
