0_Molecule,0_x,0_y,1_Molecule,1_x,1_y,2_Molecule,2_x,2_y,3_Molecule,3_x,3_y,4_Molecule,4_x,4_y,5_Molecule,5_x,5_y,6_Molecule,6_x,6_y,7_Molecule,7_x,7_y,8_Molecule,8_x,8_y,9_Molecule,9_x,9_y,10_Molecule,10_x,10_y,11_Molecule,11_x,11_y,12_Molecule,12_x,12_y,13_Molecule,13_x,13_y,14_Molecule,14_x,14_y,15_Molecule,15_x,15_y,16_Molecule,16_x,16_y
3.0,1.088595313730568,-0.5560653745839963,8,0.0588358248712251,0.4642086122380736,38.0,-0.0008694831030842,-0.1883684877377165,12.0,-0.0056259485021538,0.3334018616541228,230.0,-1.8380652693913675,-0.6079574355195679,121.0,0.6127213574094019,0.570126225214059,1.0,-0.1571218812487823,0.4746622164355385,115.0,-0.9569858510623053,-0.3145413150719815,41.0,0.6283047146427823,-0.5398566135019723,161.0,-0.9849143140023765,-0.3924050661336479,47.0,0.5759893290919879,0.0571594081660916,17.0,-0.2779851482414825,-0.237440605829756,26.0,-0.62374741198497,-0.5831436009013939,111.0,-0.2182785450971536,-0.7959451170748066,0.0,0.6426376526298325,-0.1381900548173425,10.0,-0.2025362372557853,0.1876345620319144,7.0,0.0387650552478662,0.1245133967930157
4.0,0.9608213074242707,-0.5562353535128725,11,-0.1801903303448703,0.2601878207294492,52.0,0.0320566432152819,-0.3361024531734148,16.0,-0.1007864780099059,0.243057004143004,443.0,-1.8113958430471417,-0.7885389256983685,153.0,0.8822851823580686,0.2559300570826089,2.0,-0.2525558683159833,0.7889503461158576,164.0,-0.766664939036762,-0.5178903604876828,90.0,0.7027357099486765,-0.4691268656491001,163.0,-1.1172521569155893,-0.6894950469648237,87.0,0.650262683213206,-0.033144280502585,19.0,-0.095860993519633,-0.323390717059942,34.0,-0.436036658168488,-0.2437280613408381,112.0,-0.0436647788264911,-1.462838325626597,24.0,0.6426376526298325,-0.1381900548173425,15.0,-0.1481950329383367,0.296742474203682,9.0,0.0311930412102395,-0.0902684970206026
5.0,1.0354938853437834,-0.497102584235557,22,-0.0018867513577814,0.2169648072942854,66.0,-0.1624594308772022,-0.0281566164886116,44.0,-0.0475651141838582,0.0928547046051305,721.0,-2.2846053049390047,-0.7842803830100451,154.0,0.8574888218344142,0.3683284679066049,6.0,-0.1972978808276476,0.4341266852084983,250.0,-0.6359843487955997,-0.6697432060131291,110.0,0.6269235667348663,-0.444313696978955,170.0,-1.2401046825227238,-0.0995876822810207,101.0,0.5320606021372836,-0.0674823772262812,21.0,-0.0305283389425975,-0.3484341660638645,95.0,-0.5507657545805551,-0.3229035602479104,380.0,-0.4385270261470784,-0.7861628615939913,25.0,0.6890413535992519,-0.2511679567310424,27.0,-0.0035308426114567,0.2180039244920874,33.0,-0.0542924088680949,-0.0720590330173312
13.0,1.0027357340821752,-0.471766292353319,30,-0.1403600597808915,0.2394339996333681,84.0,-0.1113399690585751,-0.2549063289161411,62.0,-0.0504736873734706,0.3596197542798104,,,,171.0,0.4835666722155735,0.5248886955092789,18.0,-0.089866373462882,0.3838214798816785,453.0,-0.9188464336312188,-0.4610389789302966,113.0,0.6948089746829991,-0.4717534095761059,339.0,-0.8978729258181306,0.1259279901267496,102.0,0.5701207439682076,-0.0247540472214263,28.0,0.0386073539433607,-0.3154433298387121,156.0,-0.5813430644183699,-0.2419615601187909,448.0,-0.2296874155125004,-1.1365097579752972,40.0,0.5319028627486044,-0.0971257491562963,45.0,0.0617978424605404,0.2580034386211169,60.0,-0.170820567657659,-0.0204300879339288
14.0,0.9733800813023062,-0.481115122308133,36,-0.124305428197027,0.0999384922167391,106.0,-0.0742846660723233,-0.263924434303975,65.0,-0.0310403638181065,0.3664007922096653,,,,226.0,0.7348481650553205,0.582366744468597,20.0,-0.1193331255332682,0.440623012930982,474.0,-0.5865281466029988,-0.6334358593712915,114.0,0.617505158333239,-0.5183885256166755,341.0,-0.9074110380480427,0.2423493737020393,108.0,0.3947084826153662,-0.0711172886031069,35.0,-0.1210118999618045,-0.193004459441575,160.0,-0.5647631924443693,-0.432691956554756,499.0,0.1515890383837684,-1.0822589066512138,42.0,0.6713771646100508,-0.2754287268047176,46.0,-0.120785559758929,0.1625722676193062,68.0,-0.0156330639243352,-0.0195958948961428
92.0,0.9974573449090166,-0.5318802030173022,37,-0.0874601092150429,0.1727932997082614,132.0,-0.0612140384921014,0.0378282470002018,85.0,-0.1446506494875825,0.2682503032801128,,,,245.0,0.6645857868280826,0.8076992759525928,23.0,-0.3133073624557171,0.5848010772850535,582.0,-0.7703256572220956,-0.321698423219491,134.0,0.0205048930866159,-0.7003302162529489,370.0,-1.0845631971662244,0.0896897156721653,167.0,0.5841759793665923,0.1777882847208618,50.0,-0.133325711392957,-0.1720790100023991,224.0,-0.0761337907007216,-0.4673942167254776,707.0,-0.2068837851919126,-0.8168204217327043,86.0,0.6424617177259129,-0.2912607217115183,51.0,0.0643581409807986,0.122980405849198,74.0,-0.0045382307116112,0.0448007367530562
93.0,1.0030406174981583,-0.412040014403229,39,0.0117567205052967,0.2456877593414433,139.0,0.0213197245670411,-0.1954929216575492,104.0,0.0251493140905066,0.2095718405841716,,,,318.0,0.9394906930487054,0.2658165956607344,29.0,-0.0776873021641561,0.3309829664090045,784.0,-0.9121953848942792,-0.4754465044832429,169.0,0.6601718219559156,-0.461215157490782,431.0,-0.8808936670178863,0.52489085018112,168.0,0.3523829519381915,0.3150871496659551,70.0,-0.1389787402730113,-0.1976428529268108,232.0,-0.5130684620441991,-0.3130163651003788,747.0,-0.1073213450780694,-1.034208544039001,89.0,0.656616942935037,-0.2875278436844507,58.0,-0.1848887313218834,0.2604207822883231,75.0,-0.0667275703120146,-0.1205523210834567
98.0,1.0494570960510963,-0.3703694723634257,48,-0.1700270582390622,0.1974919607347548,140.0,-0.1015026694436859,-0.1783398713200909,136.0,-0.1010685884707356,0.2753394622302476,,,,320.0,0.5833939867356627,0.4675807861665091,31.0,-0.0768720782260708,0.5003876623230626,823.0,-0.6210519859236773,-0.2055580471240058,177.0,0.549280647027484,-0.5834793085105153,446.0,-0.8068685425774529,0.2624686388985297,293.0,0.282458102001178,-0.0322732236888885,71.0,-0.1099190370008272,-0.2642542764454035,263.0,-0.4011642923560632,-0.2805921162245988,799.0,-0.7182496920526581,-1.6450595818197458,94.0,0.686800524093781,-0.3548502778161816,59.0,-0.0078458482356699,0.2899674985885585,99.0,-0.1794348060986538,-0.1732522425627638
123.0,1.0316691886752036,-0.4062140995813988,49,0.0148449802804534,0.3197971176275651,175.0,-0.0907426020619633,-0.3571501143286391,173.0,0.1746627467665236,0.2233028673862976,,,,323.0,0.6363711441646109,0.8373879984789336,32.0,-0.0922270457662608,0.4779997461195072,839.0,-0.6074142756385004,-0.3370746814497396,234.0,0.2574016195573756,-0.8229460196929962,484.0,-0.9426208843711412,-0.1488412664987667,294.0,0.2495914682172904,0.2235526926476776,77.0,-0.0456251070233186,-0.1580497567982003,289.0,0.1418600132006536,-0.3998075782716855,801.0,-0.0428803715303448,-1.0776935530308323,201.0,0.487065084977227,-0.1429147025315488,63.0,-0.1671413900001498,0.152396617320275,103.0,-0.0301576200531941,0.0615355557595337
157.0,0.9665092873307948,-0.4047932451015371,53,0.013513738558365,0.2151308787054785,185.0,0.0072261297927117,-0.1567632164312877,233.0,0.012826017181093,0.3398349109173247,,,,324.0,0.5482024113519158,0.8115060157870143,43.0,-0.2454641486798787,0.7741512644382627,843.0,-0.4084571985963028,-0.5784521518207346,243.0,0.2504328697404382,-0.7339584145853173,534.0,-1.6355763534534964,-0.1287639719742652,319.0,0.5693096324346679,-0.3156463257062354,78.0,-0.0714658884362655,-0.3695541943862917,350.0,-0.4957529851309274,-0.0308730139655013,833.0,-0.2746100728494781,-0.5506217490479102,227.0,0.6443574027260733,-0.1529560216389273,69.0,-0.0126506343644241,0.3541950100274838,105.0,-0.1229150473903874,0.0173567686894778
