idx,canonicalsmiles,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,RingCount,NumAromaticRings,NumAromaticCarbocycles,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,FractionCSP2
59.0,[Na][O]B([O][Na])c1ccncc1,,,,,,,,,,,,,,,,,,,,,,,
60.0,C=Cc1ccc(B([O][Na])[O][Na])cc1,,,,,,,,,,,,,,,,,,,,,,,
61.0,CC(C)CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
62.0,N#Cc1ccccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
63.0,CC(C)B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
64.0,[Na][O]B([O][Na])C1CC1,,,,,,,,,,,,,,,,,,,,,,,
65.0,Cc1cccc(B([O][Na])[O][Na])c1C,,,,,,,,,,,,,,,,,,,,,,,
66.0,O=Cc1sccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
67.0,Cc1cc(B([O][Na])[O][Na])ccc1F,,,,,,,,,,,,,,,,,,,,,,,
68.0,Cc1ccc(F)cc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
69.0,CCc1ccccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
70.0,Cc1ccc(B([O][Na])[O][Na])c(C)c1,,,,,,,,,,,,,,,,,,,,,,,
71.0,C=C(B([O][Na])[O][Na])c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,
72.0,CCC/C=C/B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
73.0,CC(C)(C)/C=C/B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
74.0,[Na][O]B(CC1CCCC1)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
75.0,[Na][O]B([O][Na])[C@@H]1CCOC1,,,,,,,,,,,,,,,,,,,,,,,
76.0,[Na][O]B(/C=C/C1CCCCC1)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
77.0,CCCCCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
78.0,[Na][O]B([O][Na])C1CCCC1,,,,,,,,,,,,,,,,,,,,,,,
79.0,Cc1ccc(B([O][Na])[O][Na])o1,,,,,,,,,,,,,,,,,,,,,,,
80.0,COc1ncc(B([O][Na])[O][Na])cn1,,,,,,,,,,,,,,,,,,,,,,,
81.0,COc1cccc(B([O][Na])[O][Na])n1,,,,,,,,,,,,,,,,,,,,,,,
82.0,Cc1ccc(B([O][Na])[O][Na])cn1,,,,,,,,,,,,,,,,,,,,,,,
83.0,COc1cncc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
84.0,CC(C)=CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
85.0,C=Cc1ccccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
86.0,[Na][O]B([O][Na])c1cncnc1,,,,,,,,,,,,,,,,,,,,,,,
87.0,Cc1ccsc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
88.0,[Na][O]B([O][Na])C1=CCCC1,,,,,,,,,,,,,,,,,,,,,,,
89.0,O=Cc1cscc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
90.0,C=Cc1cccc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
91.0,Cc1cscc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
92.0,CC(C)(C)B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
93.0,CCCCCC/C=C/B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
94.0,C/C=C/B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
95.0,C=C(C)B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
96.0,Cn1cc(B([O][Na])[O][Na])cn1,,,,,,,,,,,,,,,,,,,,,,,
97.0,[Na][O]B(Cc1ccccc1)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
98.0,CCn1cc(B([O][Na])[O][Na])cn1,,,,,,,,,,,,,,,,,,,,,,,
99.0,C=CCCCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
100.0,CCC(C)B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
101.0,CC(C)=C(C)B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
102.0,CCc1cccc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
103.0,Cc1cc(B([O][Na])[O][Na])cnc1F,,,,,,,,,,,,,,,,,,,,,,,
104.0,[Na][O]B([O][Na])c1cn[nH]c1,,,,,,,,,,,,,,,,,,,,,,,
105.0,[Na][O]B([O][Na])c1cnccn1,,,,,,,,,,,,,,,,,,,,,,,
106.0,C=CCCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
107.0,Cc1sccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
108.0,CC(=O)c1ccc(B([O][Na])[O][Na])o1,,,,,,,,,,,,,,,,,,,,,,,
109.0,C#Cc1ccc(B([O][Na])[O][Na])cc1,,,,,,,,,,,,,,,,,,,,,,,
110.0,[Na][O]B([O][Na])c1ccncn1,,,,,,,,,,,,,,,,,,,,,,,
111.0,[Na][O]B([O][Na])c1cnoc1,,,,,,,,,,,,,,,,,,,,,,,
112.0,C#Cc1ccccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
113.0,Cc1cc(B([O][Na])[O][Na])cs1,,,,,,,,,,,,,,,,,,,,,,,
114.0,Cn1ccc(B([O][Na])[O][Na])cc1=O,,,,,,,,,,,,,,,,,,,,,,,
115.0,Cn1nccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
116.0,[2H]c1c([2H])c([2H])c(B([O][Na])[O][Na])c([2H])c1[2H],,,,,,,,,,,,,,,,,,,,,,,
117.0,C=CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
118.0,[Na][O]B(CCC1CCCCC1)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
119.0,[Na][O]B([O][Na])[C@H]1CCOC1,,,,,,,,,,,,,,,,,,,,,,,
120.0,Cc1cn[nH]c1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
121.0,CCCC/C=C/B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
122.0,[Na][O]B(/C=C/CCl)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
123.0,C/C=C\B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
124.0,[Na][O]B([O][Na])c1ccc2c(c1)CC2,,,,,,,,,,,,,,,,,,,,,,,
125.0,O=Cc1coc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
126.0,COc1ccncc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
127.0,Cc1cncc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
128.0,Cc1ccncc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
129.0,Cc1cccc(B([O][Na])[O][Na])n1,,,,,,,,,,,,,,,,,,,,,,,
130.0,Cc1ccc(B([O][Na])[O][Na])nc1,,,,,,,,,,,,,,,,,,,,,,,
131.0,Cc1cnc(C)c(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
132.0,Cc1ccc(B([O][Na])[O][Na])c(C)n1,,,,,,,,,,,,,,,,,,,,,,,
133.0,Fc1cnccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
134.0,Fc1ccncc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
135.0,Cc1c(F)cccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
136.0,Cc1cc(B([O][Na])[O][Na])ccn1,,,,,,,,,,,,,,,,,,,,,,,
137.0,CC(C)CC=CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
138.0,O=Cc1cc(B([O][Na])[O][Na])co1,,,,,,,,,,,,,,,,,,,,,,,
139.0,O=C(CCB([O][Na])[O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
140.0,[Na][O]B(CC1CCCCC1)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
141.0,O=Cc1cc(B([O][Na])[O][Na])cs1,,,,,,,,,,,,,,,,,,,,,,,
142.0,CCC(CC)CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
143.0,Cc1nn(C)c(C)c1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
144.0,Cc1cc(B([O][Na])[O][Na])n(C)n1,,,,,,,,,,,,,,,,,,,,,,,
145.0,Cn1c(C#N)ccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
146.0,CC(C)(C)CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
147.0,Cc1cccc(B([O][Na])[O][Na])c1F,,,,,,,,,,,,,,,,,,,,,,,
148.0,Cc1cccnc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
149.0,O=c1ncc(B([O][Na])[O][Na])c[nH]1,,,,,,,,,,,,,,,,,,,,,,,
150.0,COCCCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
151.0,Cc1cc(F)cc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
152.0,CCc1ccc(B([O][Na])[O][Na])s1,,,,,,,,,,,,,,,,,,,,,,,
153.0,Cc1ncccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
154.0,Cc1[nH]ncc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
155.0,Cc1cc(B([O][Na])[O][Na])cc(C)n1,,,,,,,,,,,,,,,,,,,,,,,
156.0,O=c1cc(B([O][Na])[O][Na])cc[nH]1,,,,,,,,,,,,,,,,,,,,,,,
157.0,COc1cc(B([O][Na])[O][Na])ccn1,,,,,,,,,,,,,,,,,,,,,,,
158.0,Cc1cc(F)ncc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
159.0,CC1(C)CC=C(B([O][Na])[O][Na])CC1,,,,,,,,,,,,,,,,,,,,,,,
160.0,CC1CC=C(B([O][Na])[O][Na])CC1,,,,,,,,,,,,,,,,,,,,,,,
161.0,[Na][O]B([O][Na])C1=CC2CCC1C2,,,,,,,,,,,,,,,,,,,,,,,
162.0,O=C1CCC=C1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
163.0,Fc1cncc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
164.0,Cc1cnccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
165.0,CCC1CC=C(B([O][Na])[O][Na])CC1,,,,,,,,,,,,,,,,,,,,,,,
166.0,FC(F)(F)CCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
167.0,[Na][O]B(/C=C/C1CCCC1)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
