cluster,idx,canonicalsmiles,battery_elemetal_friendness,capacity(mAh/g),scscore,sascore,spacial_score
0.0,3.0,CB(O[Na])O[Na],0.10413676860101134,258.18016427214604,1.4456420652057016,7.1304720867477,53.0
0.0,4.0,CCCB(O[Na])O[Na],0.08198424313196186,203.2587110575266,1.668672503482223,6.112521517128107,77.0
0.0,5.0,CCB(O[Na])O[Na],0.09174218511353226,227.45100257573534,1.4709168869281113,6.638515894216386,65.0
0.0,13.0,CC(C)B(O[Na])O[Na],0.08198424313196186,203.2587110575266,1.6586579720029992,6.212542176468766,83.0
0.0,14.0,[Na]OB(O[Na])C1CC1,0.08325697080769735,206.41410991241202,1.6289913921434063,6.31919844020503,152.0
0.0,92.0,[Na]OB(CCl)O[Na],-0.1782093006436682,193.8638573483442,1.5231176379088862,6.96596204806254,65.0
0.0,93.0,N#CB(O[Na])O[Na],0.09417462197756254,233.48160019820534,1.5200791678671908,7.006100509601002,55.0
0.0,98.0,C#CB(O[Na])O[Na],0.09499209277807065,235.50830746402704,1.8125967349269339,7.218477432677925,55.0
0.0,123.0,FCB(O[Na])O[Na],0.08875754217460904,220.05135291676362,2.014889199420703,7.017685124985617,65.0
0.0,157.0,FCCB(O[Na])O[Na],0.07959246771985098,197.3289229807832,2.208527307543668,6.566372066578655,77.0
0.0,235.0,CCB(CC)C(=O)O[Na],0.07953801449222052,197.19392029687387,1.739258027770497,4.993283525620206,80.0
0.0,306.0,COCB(O[Na])O[Na],0.08077638568258734,200.26414113869563,1.7645538957999047,6.463897341303931,77.0
0.0,316.0,[Na]OB(CP)O[Na],0.07961298018511562,197.37977832921388,1.6624916500969928,7.736980503597284,65.0
0.0,322.0,CBOB(O[Na])O[Na],0.16426118926802588,203.62155172704837,1.7654548052541865,7.415213824820414,73.0
0.0,417.0,CC#CB(O[Na])O[Na],0.08456983738374776,209.6690227815714,1.7196010026021136,6.933710528117118,61.0
0.0,458.0,[Na]OB(O[Na])B1CC1,0.16939274299680396,209.9827313683302,2.0597317228135106,7.2314094292160185,134.0
0.0,541.0,[Na]OB(O[Na])B1CO1,0.16681581139877188,206.78831391023203,1.4019212739773947,7.253523714930304,134.0
0.0,542.0,C#CCB(O[Na])O[Na],0.08456983738374776,209.6690227815714,1.647080726033533,6.852651187457777,67.0
0.0,621.0,CCC(=O)c1ccc(O[Na])c(B(O[Na])O[Na])c1,0.04159405403533879,206.2433825795512,2.4475822453811897,4.6778070500679805,175.0
0.0,673.0,[Na]OB(O[Na])O[Na],0.084614842814547,419.56120419717735,1.9345312717535141,7.740700509601002,66.0
0.0,703.0,COc1c(O[Na])cccc1B(O[Na])O[Na],0.046224289555927014,229.20232366028267,1.9469142088601972,4.937315858015925,151.0
0.0,705.0,FB(O[Na])O[Na],0.10030801202360189,248.68775332648863,1.810830974015068,7.347404394440007,53.0
0.0,712.0,[Na]OB(Cl)O[Na],-0.19832908091401535,215.7510326984664,1.3371758851096756,7.40612131751693,53.0
0.0,720.0,O=C(O[Na])c1ccc(OB(O[Na])O[Na])cc1,0.043616823862581984,216.27325105536863,2.4296057692057884,4.513126447376304,158.0
0.0,757.0,O=C(O[Na])c1ccccc1OB(O[Na])O[Na],0.043616823862581984,216.27325105536863,2.3783866335839106,4.62049078304064,158.0
0.0,783.0,O=P(O[Na])(O[Na])OB(O[Na])O[Na],0.04706189605641159,350.033371057137,2.1610346346693072,7.220623447263916,144.0
4.0,230.0,[Na]OB(O[Na])c1ccc(C(c2cc(Br)c(O[Na])cc2O[Na])c2cc(Br)c(O[Na])cc2O[Na])cc1,-0.23214065920368926,208.81967760838484,2.3677096860823665,5.228558670164424,375.0
4.0,443.0,O=C(/C=C/c1c(B(O[Na])O[Na])c(B(O[Na])O[Na])c(/C=C/C(=O)O[Na])c(B(O[Na])O[Na])c1B(O[Na])O[Na])O[Na],0.07051687591716935,393.36376977009587,2.2274662220268584,6.767694875333419,436.0
4.0,721.0,O=C(O[Na])c1cccc(OB(O[Na])O[Na])c1,0.043616823862581984,216.27325105536863,2.426418437682619,4.601911762061619,158.0
8.0,41.0,O=P(CB(O[Na])O[Na])(O[Na])O[Na],0.04746935478205894,353.06393640312365,2.1204479460812284,7.250700866618756,144.0
8.0,90.0,[Na]OB(CB(O[Na])O[Na])O[Na],0.11285600212935852,419.69587054056825,1.3921732274908483,7.745435880063808,112.0
8.0,110.0,CC(CB(O[Na])O[Na])B(O[Na])O[Na],0.0984426001884722,366.09442125214144,2.1163307538113783,7.660355038122755,169.0
8.0,113.0,CC(B(O[Na])O[Na])B(O[Na])O[Na],0.10515770738302029,391.0669766024424,1.6490922111710908,7.446641809546795,130.0
8.0,114.0,CCC(B(O[Na])O[Na])B(O[Na])O[Na],0.0984426001884722,366.09442125214144,1.8273442267705946,7.1861071708233055,142.0
8.0,134.0,O=C(O[Na])C(F)B(C(F)C(=O)O[Na])C(F)C(=O)O[Na],0.03511985967647632,261.21180623227013,2.1579572639711926,6.4195864321761205,285.0
8.0,169.0,CC(C)(B(O[Na])O[Na])B(O[Na])O[Na],0.0984426001884722,366.09442125214144,2.1530987852233165,7.124450938820015,154.0
8.0,177.0,O=P(O[Na])(O[Na])C(F)(F)B(O[Na])O[Na],0.04099367578142773,304.89962641106916,2.0995354347731645,6.77474871756027,186.0
8.0,234.0,CCC(B(O[Na])O[Na])(C(=O)O[Na])C(=O)O[Na],0.04097612000257713,304.7690513818514,2.160822905839396,6.2248505391382,177.0
